iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
14,16,4,32,2.000000,16,15,15,263,3516,1.460639,12,70,604,25024,4.698610
0,32,4,0,0.000000,0,0,5,32,2136,0.306471,1,5,32,2136,0.306471
0,32,4,16,0.500000,16,16,17,320,3992,1.899264,14,115,868,36328,7.277519
0,32,4,32,1.000000,32,31,31,424,5768,2.655890,24,204,1392,63392,12.125592
0,32,4,48,1.500000,32,31,31,472,5768,2.826686,25,191,1400,63368,11.902811
0,32,4,64,2.000000,32,31,31,520,5768,3.173167,25,191,1448,63368,12.202923
1,32,4,0,0.000000,0,0,5,32,2136,0.309090,1,5,32,2136,0.309090
1,32,4,16,0.500000,16,18,19,328,4136,1.819302,12,87,732,29960,5.746197
1,32,4,32,1.000000,32,31,31,424,5768,2.532465,26,225,1500,68984,13.038495
1,32,4,48,1.500000,32,31,31,472,5768,2.755133,28,201,1476,69176,12.490685
1,32,4,64,2.000000,32,31,31,520,5768,3.008842,28,201,1524,69176,12.753397
2,32,4,0,0.000000,0,0,5,32,2136,0.303591,1,5,32,2136,0.303591
2,32,4,16,0.500000,16,17,17,320,3992,1.749549,12,82,712,29232,5.542588
2,32,4,32,1.000000,32,31,31,424,5768,2.521305,27,199,1408,67400,12.120841
2,32,4,48,1.500000,32,31,31,472,5768,2.756514,20,181,1300,54488,10.848627
2,32,4,64,2.000000,32,31,31,520,5768,3.029563,20,181,1348,54488,11.138870
3,32,4,0,0.000000,0,0,5,32,2136,0.308011,1,5,32,2136,0.308011
3,32,4,16,0.500000,16,19,19,328,4264,1.811992,11,90,732,28816,5.749976
3,32,4,32,1.000000,32,31,31,424,5768,2.531425,28,208,1456,70016,12.563395
3,32,4,48,1.500000,32,31,31,472,5768,2.762814,30,289,1852,82808,16.261561
3,32,4,64,2.000000,32,31,31,520,5768,3.020543,30,289,1900,82808,16.562416
